Mike Huckabee,0.01,2016-03-12.23:06:01
Bobby Jindal,0.01,2016-03-12.23:06:01
Rick Perry,0.01,2016-03-12.23:06:01
Rick Santorum,0.01,2016-03-12.23:06:01
Susana Martinez,0.01,2016-03-12.23:06:01
Ben Carson,0.01,2016-03-12.23:06:01
Mike Pence,0.01,2016-03-12.23:06:01
Carly Fiorina,0.01,2016-03-12.23:06:01
George Pataki,0.01,2016-03-12.23:06:01
Donald Trump,0.69,2016-03-13.00:06:26
Ted Cruz,0.17,2016-03-13.00:06:26
John Kasich,0.11,2016-03-13.00:06:26
Marco Rubio,0.04,2016-03-13.00:06:26
Mitt Romney,0.04,2016-03-13.00:06:26
Paul Ryan,0.04,2016-03-13.00:06:26
Jeb Bush,0.01,2016-03-13.00:06:26
Rand Paul,0.01,2016-03-13.00:06:26
Chris Christie,0.01,2016-03-13.00:06:26
Scott Walker,0.01,2016-03-13.00:06:26
Sarah Palin,0.01,2016-03-13.00:06:26
Lindsey Graham,0.01,2016-03-13.00:06:26
Mike Huckabee,0.01,2016-03-13.00:06:26
Bobby Jindal,0.01,2016-03-13.00:06:26
Rick Perry,0.01,2016-03-13.00:06:26
Rick Santorum,0.01,2016-03-13.00:06:26
Susana Martinez,0.01,2016-03-13.00:06:26
Ben Carson,0.01,2016-03-13.00:06:26
Mike Pence,0.01,2016-03-13.00:06:26
Carly Fiorina,0.01,2016-03-13.00:06:26
George Pataki,0.01,2016-03-13.00:06:26
Donald Trump,0.69,2016-03-13.03:36:02
Ted Cruz,0.17,2016-03-13.03:36:02
John Kasich,0.11,2016-03-13.03:36:02
Mitt Romney,0.04,2016-03-13.03:36:02
Marco Rubio,0.04,2016-03-13.03:36:02
Paul Ryan,0.04,2016-03-13.03:36:02
Jeb Bush,0.01,2016-03-13.03:36:02
Rand Paul,0.01,2016-03-13.03:36:02
Chris Christie,0.01,2016-03-13.03:36:02
Scott Walker,0.01,2016-03-13.03:36:02
Sarah Palin,0.01,2016-03-13.03:36:02
Lindsey Graham,0.01,2016-03-13.03:36:02
Mike Huckabee,0.01,2016-03-13.03:36:02
Bobby Jindal,0.01,2016-03-13.03:36:02
Rick Perry,0.01,2016-03-13.03:36:02
Rick Santorum,0.01,2016-03-13.03:36:02
Susana Martinez,0.01,2016-03-13.03:36:02
Ben Carson,0.01,2016-03-13.03:36:02
Mike Pence,0.01,2016-03-13.03:36:02
Carly Fiorina,0.01,2016-03-13.03:36:02
George Pataki,0.01,2016-03-13.03:36:02
Donald Trump,0.69,2016-03-13.11:15:50
Ted Cruz,0.17,2016-03-13.11:15:50
John Kasich,0.11,2016-03-13.11:15:50
Mitt Romney,0.04,2016-03-13.11:15:50
Paul Ryan,0.04,2016-03-13.11:15:50
Marco Rubio,0.04,2016-03-13.11:15:50
Jeb Bush,0.01,2016-03-13.11:15:50
Rand Paul,0.01,2016-03-13.11:15:50
Chris Christie,0.01,2016-03-13.11:15:50
Scott Walker,0.01,2016-03-13.11:15:50
Sarah Palin,0.01,2016-03-13.11:15:50
Lindsey Graham,0.01,2016-03-13.11:15:50
Mike Huckabee,0.01,2016-03-13.11:15:50
Bobby Jindal,0.01,2016-03-13.11:15:50
Rick Perry,0.01,2016-03-13.11:15:50
Rick Santorum,0.01,2016-03-13.11:15:50
